Company,Email,Primary Phone,Phone,Mobile,Website,Domestic Nondomestic,Counties Covered,County Count,Priority Score,Outreach Status,First Email Sent,Follow-up Date,Reply Status,Notes
Alliance Contracting and Electrical Engineering Ltd T/A Alliance Renewable Energy Group,aquinn@alliance-electrical.ie,858507033,,858507033,https://www.alliance-electrical.ie,Both,"Westmeath, Wexford, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,100,Not contacted,,,,
COK Electrical & Renewables Ltd,cokelec26@gmail.com,879791346,,879791346,http://www.cokelectricalandrenewables.ie/,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow",26,100,Not contacted,,,,
Circet Install Limited (KN Install Limited),robert.stafford@cirect.ie,14575000,14575000,,https://www.circet.ie,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,100,Not contacted,,,,
Colum Gallagher Electrical & Solar,columgallagherelectrical@gmail.com,838725222,719112921,838725222,https://www.columgelectrical.com/,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,100,Not contacted,,,,
DTN Electrical Ltd,office@dtnelectrical.com,087 2495208,059 9148775,087 2495208,https://www.dtnelectrical.com,Both,"Wicklow, Wexford, Waterford, Tipperary, Offaly, Meath, Laois, Kilkenny, Kildare, Dublin, Carlow",11,100,Not contacted,,,,
Future Renewables Energy Systems Limited,seai@fresl.net,4866389657,4866389657,,https://futurerenewables.net/,Both,"Wexford, Westmeath, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Leitrim, Laois, Kilkenny, Kildare, Galway, Dublin, Donegal, Cavan, Carlow, Wicklow",20,100,Not contacted,,,,
Green Air Technologies Ltd,fintan@greenairtechnologies.ie,043 332 9488,043 332 9488,,https://greenairtechnologies.ie/,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow",26,100,Not contacted,,,,
Home Building Solutions,wesley@homebuildingsolutions.ie,085 125 1612,,085 125 1612,https://www.homebuildingsolutions.ie,Domestic,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,100,Not contacted,,,,
IVR Electrical Ltd,ivrelectrical.ie@gmail.com,089 228 3094,,089 228 3094,https://www.ivrelectrical.ie,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow",26,100,Not contacted,,,,
JE Solar Ltd,John@jesolar.ie,+353 87 666 0115,,+353 87 666 0115,https://www.jesolar.ie,Both,"Sligo, Mayo, Leitrim, Galway, Donegal",5,100,Not contacted,,,,
