Company,Registration number,Phone,Mobile,Website,Email,Domestic Nondomestic,County
021 Electrician,50716,021 2032 111,,,office@021.ie,Both,"Clare, Cork, Kerry, Limerick, Tipperary, Waterford"
A & B = New Energy Limited,50635,01 6876080,,,info@newenergy.ie,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
A Simpson Electrical,50476,,868176477,,tonysimpson111@hotmail.com,Domestic,Kildare
A.C.E Smart Services T/A ACE Electrical,50288,087 612 3769,087 414 1461,,accounts@aceelectrical.ie,Both,Mayo
A.J Smith Electrical,50718,,086 0717559,,aselectrical2016@gmail.com,Domestic,"Meath, Louth"
A1 Energy Solutions Ltd,50042,14734283,862935333,,info@a1energy.ie,Both,"Wicklow, Meath, Kildare, Dublin"
A1 Solar,50445,,+353 87 716 6947,,a1solar-services@outlook.com,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
AAA Solar Specialists,50724,,086 120 4124,,dc.20@hotmail.com,Domestic,Galway
AAS Electrical Ltd,50396,,086 161 6295,,aaselectricalandrenewables@gmail.com,Domestic,"Offaly, Meath, Laois, Kildare, Dublin, Westmeath"
AB Electrical,50638,,872281549,,info@abelectrical.ie,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Abhaile Solar and Electrical Ltd,50592,,+353 86 842 3073,,abhailesolar@gmail.com,Both,"Sligo, Roscommon, Offaly, Mayo, Limerick, Leitrim, Galway, Donegal, Clare"
Activ8 Solar Energies,50009,042 969 0352,,,Sinead.Busby@activ8energies.com,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
AD Electrical Services,50704,,086 199 0898,,info@adelectrical.ie,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow"
Adam Pamplin Limited,50172,,086 605 9909,,,Both,"Wicklow, Laois, Kildare, Dublin, Carlow"
Agri Solar Specialists Ltd,50266,,086 056 1821,,,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow"
Agricam CCTV and Electrical LTD,50455,+353 59 912 1011,+353 87 601 6550,,jamie@agripower.ie,Both,"Westmeath, Waterford, Tipperary, Offaly, Meath, Limerick, Laois, Kilkenny, Kildare, Wexford, Dublin, Carlow, Wicklow"
AH Electrical Services & More,50645,,873330319,,info@ahelectricalsam.com,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
Airsol Renewable Solutions Ltd,50353,,871699149,,,Both,"Sligo, Roscommon, Mayo, Leitrim, Galway"
AK solar,50256,,085 265 7845,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Alan Morrison Electrical,50693,,087 6533670,,amorrisonelectricalservices@outlook.ie,Domestic,"Dublin, Louth, Meath"
All Solar Energies Ireland,50395,042 603 0770,087 716 0009,,admin@asei.ie,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Alliance Contracting and Electrical Engineering Ltd T/A Alliance Renewable Energy Group,50639,,858507033,https://www.alliance-electrical.ie,aquinn@alliance-electrical.ie,Both,"Westmeath, Wexford, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Alternative Energy,50012,00 44 2882 250160,0044 779 354 8036,,jerome@alternativeenergy.ie,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Alternative Energy Ireland,50053,01 443 3996,,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Alternative power Generation T/A SDES,50459,,+353 85 144 6905,,accounts@sdes.ie,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Andrew Carroll Electrical Services Ltd,50507,,+353 87 827 3613,,Carrollandgunning@gmail.com,Domestic,Dublin
AP Renewables LTD,50253,,087 647 2494,,,Both,Galway
Apex Workforce Ltd,50728,,894896485,,donal@apexworkforce.ie,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
APOLLO SOLAR TECH LTD,50412,,+353 87 446 4251,,apolloltdcompany@gmail.com,Domestic,"Wicklow, Wexford, Waterford, Tipperary, Offaly, Laois, Kilkenny, Kildare, Dublin, Carlow"
Armour renewables Ltd T/A Leinster Energy,50289,429395830,087 9783404,,,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
ARPS Security Ltd T/A ARPS Construction,50727,,872221493,,admin@arpssecurity.ie,Both,"Carlow, Kildare, Kilkenny, Waterford, Wexford, Wicklow"
Ashgrove Renewables,50276,022 47900,,,,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow"
Astatine Limited,50532,01 525 3006,,,info@astatine.ie,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
